rating,recipe_id,user_id,user_id_index,recipe_id_index
5,B0045XE32E,A3DOPYDOS49I3T,153.0,64.0
5,B001LGGH40,A3DOPYDOS49I3T,153.0,62.0
5,B001EQ53K6,A3DOPYDOS49I3T,153.0,5172.0
5,B006Q7YFLQ,A3DOPYDOS49I3T,153.0,153.0
4,B0041NYV8E,A3DOPYDOS49I3T,153.0,1.0
5,B004CYLW7A,A3DOPYDOS49I3T,153.0,140.0
5,B002IEZJMA,A3DOPYDOS49I3T,153.0,0.0
5,B0007A0AQW,A3DOPYDOS49I3T,153.0,266.0
5,B0007A0AQW,A3DOPYDOS49I3T,153.0,266.0
5,B0007A0AQW,A3DOPYDOS49I3T,153.0,266.0
4,B001LG940E,A3DOPYDOS49I3T,153.0,56.0
5,B002LANN56,A3DOPYDOS49I3T,153.0,4.0
5,B000ILIHA6,A3DOPYDOS49I3T,153.0,2431.0
4,B002ZJSWO0,A3DOPYDOS49I3T,153.0,573.0
4,B000FA3912,A3DOPYDOS49I3T,153.0,592.0
5,B0007A0AQM,A3DOPYDOS49I3T,153.0,292.0
5,B0007A0AQM,A3DOPYDOS49I3T,153.0,292.0
5,B0007A0AQM,A3DOPYDOS49I3T,153.0,292.0
5,B001Q9EFW8,A3DOPYDOS49I3T,153.0,187.0
4,B002ZJTX16,A3DOPYDOS49I3T,153.0,621.0
5,B004JGQ16I,A3DOPYDOS49I3T,153.0,390.0
4,B004E4CCSQ,A3DOPYDOS49I3T,153.0,51.0
4,B000UUWECC,A3DOPYDOS49I3T,153.0,488.0
5,B000CRIUNA,A3DOPYDOS49I3T,153.0,9624.0
5,B001VJ0B0I,A3DOPYDOS49I3T,153.0,12.0
4,B002ZJSS8A,A3DOPYDOS49I3T,153.0,613.0
5,B001LGGH54,A3DOPYDOS49I3T,153.0,54.0
5,B006Q7YG56,A3DOPYDOS49I3T,153.0,156.0
5,B0051COPH6,A3DOPYDOS49I3T,153.0,47.0
5,B006Q7YG24,A3DOPYDOS49I3T,153.0,154.0
4,B005HG9ESG,A3DOPYDOS49I3T,153.0,7.0
5,B000BRR8VQ,A3DOPYDOS49I3T,153.0,284.0
5,B000BRR8VQ,A3DOPYDOS49I3T,153.0,284.0
5,B000BRR8VQ,A3DOPYDOS49I3T,153.0,284.0
4,B002QTXS5C,A3DOPYDOS49I3T,153.0,606.0
5,B005A1LINC,A3DOPYDOS49I3T,153.0,112.0
5,B000H0ZJIG,A3DOPYDOS49I3T,153.0,290.0
5,B000H0ZJIG,A3DOPYDOS49I3T,153.0,290.0
5,B000H0ZJIG,A3DOPYDOS49I3T,153.0,290.0
5,B001Q9EFVY,A3DOPYDOS49I3T,153.0,186.0
5,B001EQ4IMA,A3DOPYDOS49I3T,153.0,1751.0
5,B006Q7YG2O,A3DOPYDOS49I3T,153.0,155.0
4,B005HG9ERW,A3DOPYDOS49I3T,153.0,9.0
4,B002ZJMRTQ,A3DOPYDOS49I3T,153.0,550.0
4,B005HG9ET0,A3DOPYDOS49I3T,153.0,10.0
5,B000CROPGG,A3DOPYDOS49I3T,153.0,10276.0
5,B000H1217M,A3DOPYDOS49I3T,153.0,289.0
5,B000H1217M,A3DOPYDOS49I3T,153.0,289.0
5,B000H1217M,A3DOPYDOS49I3T,153.0,289.0
5,B000H0ZJHW,A3DOPYDOS49I3T,153.0,287.0
5,B000H0ZJHW,A3DOPYDOS49I3T,153.0,287.0
5,B000H0ZJHW,A3DOPYDOS49I3T,153.0,287.0
5,B003YBLF2E,A3DOPYDOS49I3T,153.0,238.0
